latitude,longitude,id,name,docks
40.714274,-73.9899,motivate_BKN_66db6f2e-0aca-11e7-82f6-3863bb44ef7c,Canal St & Rutgers St,38
40.69757,-73.93098,motivate_BKN_493e046c-5d62-4772-90c4-b6a9f4afcd39,Willoughby Ave & Myrtle Ave,17
40.851788,-73.916418,motivate_BKN_023cf549-bd85-4f9a-abd8-70ba29d7e86b,W Tremont Ave & Montgomery Ave,19
40.66227,-73.93762,motivate_BKN_2c8b263e-952c-4941-a671-ef0ebb062632,E New York Ave & Troy Ave,20
40.738663,-73.940938,motivate_BKN_6d766daf-9298-4059-a329-1818582d495f,Borden Ave & Review Ave,19
40.838315,-73.912604,motivate_BKN_d040a7b3-85b5-4c0d-9c92-3f4ad0082143,E 170 St & Sheridan Ave,26
40.73396,-73.95204,motivate_BKN_63a838a8-9acf-4ba1-91f5-c676f6ef2f7d,Green St & McGuinness Blvd,15
40.844075,-73.917256,motivate_BKN_cc5f0e68-dd5f-4db1-81c7-04a4d6674fba,Goble Pl & Macombs Rd,18
40.85556,-73.89615,motivate_BKN_765ee572-6c7a-4ed3-a2d4-f1496ea53996,Webster Ave & Ford St,17
40.666439,-73.960556,motivate_BKN_81a98b0b-cfd6-48b4-90bd-806ebbc264a0,Montgomery St & Franklin Ave,17
40.66288,-73.94019,motivate_BKN_c606bae0-889c-47c3-8202-9463ef147655,Lefferts Ave & Albany Ave,17
40.675327,-74.010069,motivate_BKN_66de11bc-0aca-11e7-82f6-3863bb44ef7c,Wolcott St & Dwight St,15
40.740258,-73.984092,motivate_BKN_66dc8a3d-0aca-11e7-82f6-3863bb44ef7c,Lexington Ave & E 24 St,75
40.770147,-73.912093,motivate_BKN_0630217a-3913-47d9-9540-cf85688296a5,37 St & 24 Ave,11
40.749372,-73.897387,motivate_BKN_faf98f78-51ab-4248-b7e7-f402902385a6,65 St & Broadway,17
40.782322,-73.959875,motivate_BKN_b9720921-8170-43ea-a5ae-b61b9161eb49,5 Ave & E 87 St,22
